1,8,11,4
2,3,4,7
3,16,3,8
4,13,16,3
5,4,12,3
6,3,6,8
7,9,10,17
8,3,6,7
9,3,8,9
10,4,9,10
11,9,11,3
12,3,4,8
13,4,6,8
14,4,8,9
15,3,15,19
16,6,13,18
17,4,6,8
18,6,7,10
19,3,9,11
20,8,17,19
21,2,18,4
22,9,4,17
23,18,19,3
24,12,17,4
25,8,3,4
26,3,4,6
27,2,4,13
28,4,6,8
29,12,17,19
30,4,17,18
31,3,7,9
32,12,15,17
33,4,8,9
34,18,13,17
35,4,11,2
36,8,12,6
37,3,6,8
38,6,7,19
39,11,15,17
40,6,16,2
41,3,4,8
42,10,6,7
43,7,12,3
44,3,8,15
45,2,3,6
46,3,4,12
47,3,13,12
48,3,4,6
49,4,19,6
50,7,12,15
51,3,6,11
52,8,12,11
53,3,6,11
54,3,18,12
55,3,6,12
56,6,7,12
57,4,6,10
58,6,11,17
59,4,6,7
60,4,10,12
61,2,4,8
62,3,4,10
63,4,8,10
64,6,10,18
65,4,3,11
66,8,15,17
67,3,6,12
68,3,4,7
69,6,10,11
70,4,11,12
71,2,6,8
72,6,11,16
73,3,4,6
74,6,8,10
75,4,8,10
76,10,3,11
77,3,4,11
78,3,6,18
79,3,4,12
80,2,16,3
81,3,12,6
82,6,15,20
83,7,12,15
84,18,6,1
85,6,8,12
86,3,10,2
87,4,15,17
88,6,7,8
89,6,8,3
90,4,8,15
91,3,6,17
92,3,4,5
93,3,8,12
94,2,6,3
95,3,4,19
96,4,7,15
97,7,8,11
98,10,11,3
99,8,11,12
100,3,12,8
