1,1,1
1,2,4
1,3,5
1,4,4
1,5,1
1,6,4
1,7,1
1,8,5
1,9,
1,10,3
1,11,4
1,12,2
1,13,
1,14,
1,15,5
1,16,5
1,17,5
1,18,5
1,19,1
1,20,4
2,1,5
2,2,2
2,3,2
2,4,3
2,5,1
2,6,2
2,7,
2,8,2
2,9,5
2,10,4
2,11,5
2,12,3
2,13,3
2,14,2
2,15,1
2,16,2
2,17,4
2,18,
2,19,3
2,20,2
3,1,2
3,2,1
3,3,5
3,4,5
3,5,1
3,6,4
3,7,
3,8,4
3,9,1
3,10,5
3,11,1
3,12,3
3,13,3
3,14,
3,15,2
3,16,
3,17,4
3,18,3
3,19,5
3,20,
4,1,3
4,2,
4,3,5
4,4,4
4,5,
4,6,5
4,7,
4,8,5
4,9,1
4,10,3
4,11,4
4,12,5
4,13,1
4,14,
4,15,4
4,16,2
4,17,1
4,18,2
4,19,2
4,20,3
5,1,2
5,2,2
5,3,4
5,4,4
5,5,
5,6,4
5,7,5
5,8,
5,9,2
5,10,1
5,11,
5,12,3
5,13,3
5,14,3
5,15,5
5,16,4
5,17,5
5,18,3
5,19,3
5,20,1
6,1,2
6,2,2
6,3,4
6,4,5
6,5,2
6,6,5
6,7,4
6,8,5
6,9,2
6,10,3
6,11,4
6,12,4
6,13,
6,14,1
6,15,1
6,16,2
6,17,3
6,18,4
6,19,3
6,20,
7,1,3
7,2,3
7,3,4
7,4,4
7,5,1
7,6,4
7,7,4
7,8,5
7,9,1
7,10,4
7,11,4
7,12,5
7,13,2
7,14,3
7,15,4
7,16,2
7,17,4
7,18,
7,19,1
7,20,3
8,1,1
8,2,5
8,3,5
8,4,5
8,5,2
8,6,4
8,7,1
8,8,5
8,9,3
8,10,2
8,11,4
8,12,1
8,13,2
8,14,
8,15,2
8,16,4
8,17,5
8,18,1
8,19,
8,20,1
9,1,2
9,2,1
9,3,3
9,4,2
9,5,5
9,6,1
9,7,
9,8,
9,9,3
9,10,2
9,11,3
9,12,2
9,13,3
9,14,2
9,15,2
9,16,2
9,17,1
9,18,3
9,19,3
9,20,4
10,1,2
10,2,
10,3,5
10,4,5
10,5,
10,6,4
10,7,3
10,8,5
10,9,
10,10,5
10,11,5
10,12,1
10,13,1
10,14,2
10,15,3
10,16,
10,17,4
10,18,
10,19,4
10,20,2
11,1,3
11,2,3
11,3,5
11,4,5
11,5,1
11,6,5
11,7,3
11,8,4
11,9,
11,10,5
11,11,4
11,12,4
11,13,1
11,14,3
11,15,3
11,16,4
11,17,
11,18,3
11,19,
11,20,4
12,1,2
12,2,3
12,3,4
12,4,5
12,5,1
12,6,4
12,7,1
12,8,
12,9,5
12,10,5
12,11,5
12,12,2
12,13,3
12,14,2
12,15,2
12,16,1
12,17,2
12,18,2
12,19,4
12,20,
13,1,3
13,2,5
13,3,5
13,4,5
13,5,1
13,6,4
13,7,1
13,8,5
13,9,
13,10,1
13,11,3
13,12,5
13,13,4
13,14,2
13,15,3
13,16,5
13,17,5
13,18,3
13,19,1
13,20,
14,1,2
14,2,3
14,3,2
14,4,5
14,5,2
14,6,
14,7,
14,8,3
14,9,
14,10,1
14,11,
14,12,2
14,13,3
14,14,1
14,15,
14,16,1
14,17,1
14,18,2
14,19,4
14,20,3
15,1,1
15,2,
15,3,4
15,4,3
15,5,3
15,6,5
15,7,3
15,8,5
15,9,
15,10,
15,11,2
15,12,4
15,13,3
15,14,3
15,15,3
15,16,1
15,17,5
15,18,1
15,19,3
15,20,3
16,1,3
16,2,1
16,3,5
16,4,5
16,5,3
16,6,5
16,7,5
16,8,4
16,9,2
16,10,4
16,11,4
16,12,4
16,13,3
16,14,2
16,15,3
16,16,2
16,17,5
16,18,3
16,19,1
16,20,4
17,1,1
17,2,3
17,3,3
17,4,2
17,5,1
17,6,4
17,7,5
17,8,4
17,9,1
17,10,5
17,11,2
17,12,
17,13,3
17,14,
17,15,1
17,16,1
17,17,
17,18,
17,19,3
17,20,3
18,1,1
18,2,1
18,3,5
18,4,1
18,5,
