1,13,12,1
2,4,7,8
3,3,7,8
4,8,13,3
5,2,4,3
6,4,6,8
7,3,4,12
8,3,15,17
9,4,15,3
10,13,2,3
11,3,12,15
12,4,11,3
13,15,18,6
14,9,10,17
15,3,4,7
16,20,3,4
17,2,4,6
18,2,3,6
19,3,7,8
20,3,4,12
21,3,8,4
22,15,3,4
23,3,6,8
24,3,8,9
25,3,4,11
26,3,8,9
27,6,13,17
28,6,15,9
29,3,4,8
30,3,8,11
31,4,12,17
32,13,8,16
33,3,4,10
34,1,2,7
35,2,3,18
36,3,19,6
37,3,6,9
38,8,12,15
39,3,7,8
40,6,7,8
41,4,8,10
42,9,15,3
43,6,9,12
44,2,4,8
45,9,12,3
46,6,10,11
47,3,7,8
48,3,4,6
49,4,8,9
50,3,11,6
51,6,15,7
52,4,8,17
53,4,9,17
54,4,8,16
55,4,19,3
56,3,16,4
57,3,4,6
58,3,6,4
59,3,4,15
60,3,4,8
61,3,7,15
62,9,15,3
63,3,6,8
64,4,11,3
65,8,3,4
66,3,4,6
67,6,17,3
68,8,2,3
69,16,20,2
70,6,3,8
71,7,11,9
72,3,4,11
73,3,4,6
74,15,8,11
75,11,12,3
